Placa_Caminhao;Hora_entrada;Hora_Saida;Permanencia_Minutos;Status
PDO 5 W 80;2023-10-26 17:08:00;2023-10-26 18:11:00;63;Concluído (Dentro SLA
WFC 1 H 33;2023-10-26 10:57:00;2023-10-26 12:34:00;97;Concluído (Dentro SLA
SVR 2 F 42;2023-10-26 16:05:00;2023-10-26 17:29:00;84;Concluído (Dentro SLA
WBL 4 C 42;2023-10-26 07:28:00;2023-10-26 09:21:00;113;Concluído (Dentro SLA
XCA 1 Q 56;2023-10-26 08:01:00;2023-10-26 11:20:00;199;Gargalo (Fora SLA)
GHA 2 W 36;2023-10-26 08:23:00;2023-10-26 09:33:00;70;Concluído (Dentro SLA
NXO 6 W 57;2023-10-26 11:54:00;2023-10-26 15:41:00;227;Gargalo (Fora SLA)
JKD 0 Z 98;2023-10-26 13:46:00;2023-10-26 17:16:00;210;Gargalo (Fora SLA)
FOJ 9 X 41;2023-10-26 17:43:00;2023-10-26 20:17:00;154;Concluído (Dentro SLA
KZD 7 B 18;2023-10-26 07:54:00;2023-10-26 16:50:00;536;Gargalo (Fora SLA)
RZL 2 X 33;2023-10-26 12:29:00;2023-10-26 15:22:00;173;Concluído (Dentro SLA
LRX 2 A 60;2023-10-26 14:35:00;2023-10-26 15:32:00;57;Concluído (Dentro SLA
WFU 5 Y 56;2023-10-26 17:52:00;2023-10-26 19:57:00;125;Concluído (Dentro SLA
HMP 0 P 95;2023-10-26 16:21:00;2023-10-26 18:18:00;117;Concluído (Dentro SLA
VAP 5 K 41;2023-10-26 15:46:00;2023-10-26 17:31:00;105;Concluído (Dentro SLA
HFX 1 N 28;2023-10-26 11:34:00;2023-10-26 19:14:00;460;Gargalo (Fora SLA)
REI 6 V 41;2023-10-26 11:39:00;2023-10-26 14:47:00;188;Gargalo (Fora SLA)
QVS 6 Y 96;2023-10-26 10:38:00;2023-10-26 11:47:00;69;Concluído (Dentro SLA
JSJ 9 M 65;2023-10-26 13:09:00;2023-10-26 16:49:00;220;Gargalo (Fora SLA)
TSP 4 B 19;2023-10-26 06:02:00;2023-10-26 09:50:00;228;Gargalo (Fora SLA)
EAM 2 V 53;2023-10-26 16:52:00;2023-10-26 19:06:00;134;Concluído (Dentro SLA
DZI 5 R 41;2023-10-26 11:57:00;2023-10-26 15:43:00;226;Gargalo (Fora SLA)
VTZ 1 I 60;2023-10-26 06:55:00;2023-10-26 07:51:00;56;Concluído (Dentro SLA
NMR 7 D 89;2023-10-26 10:47:00;2023-10-26 18:42:00;475;Gargalo (Fora SLA)
RDO 7 P 63;2023-10-26 17:23:00;2023-10-26 18:52:00;89;Concluído (Dentro SLA
PYE 9 H 36;2023-10-26 08:32:00;2023-10-26 09:58:00;86;Concluído (Dentro SLA
UCE 9 T 61;2023-10-26 12:16:00;2023-10-26 15:57:00;221;Gargalo (Fora SLA)
RUB 7 C 98;2023-10-26 06:08:00;2023-10-26 07:29:00;81;Concluído (Dentro SLA
SME 7 O 66;2023-10-26 17:34:00;2023-10-26 21:22:00;228;Gargalo (Fora SLA)
MRQ 6 J 21;2023-10-26 13:30:00;2023-10-26 16:25:00;175;Concluído (Dentro SLA
IQO 0 D 18;2023-10-26 08:33:00;2023-10-26 09:30:00;57;Concluído (Dentro SLA
NZD 2 F 99;2023-10-26 07:02:00;2023-10-26 07:49:00;47;Concluído (Dentro SLA
PNM 0 S 36;2023-10-26 14:05:00;2023-10-26 16:41:00;156;Concluído (Dentro SLA
BTT 4 G 98;2023-10-26 10:00:00;2023-10-26 13:59:00;239;Gargalo (Fora SLA)
DKT 3 S 49;2023-10-26 16:49:00;2023-10-26 18:57:00;128;Concluído (Dentro SLA
XQG 6 V 80;2023-10-26 07:10:00;2023-10-26 09:43:00;153;Concluído (Dentro SLA
RRS 8 O 83;2023-10-26 17:04:00;2023-10-26 19:08:00;124;Concluído (Dentro SLA
PGE 9 G 54;2023-10-26 06:12:00;2023-10-26 09:08:00;176;Concluído (Dentro SLA
EHW 1 J 27;2023-10-26 10:45:00;2023-10-26 18:30:00;465;Gargalo (Fora SLA)
EGE 3 A 81;2023-10-26 15:34:00;2023-10-26 17:43:00;129;Concluído (Dentro SLA
FZF 5 P 56;2023-10-26 10:06:00;2023-10-26 15:40:00;334;Gargalo (Fora SLA)
QNU 3 J 17;2023-10-26 10:52:00;2023-10-26 13:46:00;174;Concluído (Dentro SLA
OHM 2 E 88;2023-10-26 06:51:00;2023-10-26 07:48:00;57;Concluído (Dentro SLA
OXB 0 S 98;2023-10-26 11:48:00;2023-10-26 14:47:00;179;Concluído (Dentro SLA
GUO 7 O 51;2023-10-26 17:56:00;2023-10-26 21:01:00;185;Gargalo (Fora SLA)
AQV 8 R 12;2023-10-26 06:39:00;2023-10-26 08:03:00;84;Concluído (Dentro SLA
WCL 0 U 22;2023-10-26 06:44:00;2023-10-26 08:00:00;76;Concluído (Dentro SLA
PDP 7 S 91;2023-10-26 15:28:00;2023-10-26 17:42:00;134;Concluído (Dentro SLA
SYJ 3 F 74;2023-10-26 09:21:00;2023-10-26 11:18:00;117;Concluído (Dentro SLA
CWZ 1 C 96;2023-10-26 15:02:00;2023-10-26 17:48:00;166;Concluído (Dentro SLA
